participant_id	array_call_rate	het_rate	sex_check_pass	ancestry_pc1	ancestry_pc2	kinship_flag
OFH100000	0.9966	0.292	True	-0.0184	0.0134	False
OFH100001	0.9896	0.195	True	-0.0101	-0.0058	False
OFH100002	0.9922	0.288	True	-0.0096	0.0196	False
OFH100003	0.9854	0.245	True	-0.0019	0.0099	False
OFH100004	0.9885	0.254	True	0.0122	-0.0144	False
OFH100005	0.9852	0.313	True	0.0193	-0.0148	False
OFH100006	0.9965	0.24	True	0.0052	0.0058	False
OFH100007	0.9932	0.221	True	0.0125	-0.0191	False
OFH100008	0.9859	0.324	True	-0.0023	-0.0148	False
OFH100009	0.9977	0.313	True	-0.0067	-0.0183	False
OFH100010	0.9915	0.207	True	0.003	0.0129	False
OFH100011	0.9905	0.185	True	0.0073	-0.0131	False
OFH100012	0.988	0.21	True	-0.0088	0.0153	False
OFH100013	0.9855	0.279	True	-0.0102	-0.0082	False
OFH100014	0.9908	0.268	True	-0.0176	-0.0088	False
OFH100015	0.939	0.322	True	0.001	0.0052	False
OFH100016	0.9658	0.338	True	0.0113	-0.0056	False
OFH100017	0.9926	0.258	True	0.0165	0.0001	False
OFH100018	0.9904	0.209	True	-0.0072	-0.0112	False
OFH100019	0.9975	0.305	True	-0.0177	0.0197	False
OFH100020	0.9924	0.303	True	0.02	0.019	False
OFH100021	0.9864	0.285	True	-0.0093	0.0127	False
OFH100022	0.9978	0.189	True	0.0199	-0.0112	False
OFH100023	0.9969	0.308	True	-0.0058	0.0136	False
OFH100024	0.9968	0.208	True	0.0037	0.0122	False
OFH100025	0.9948	0.326	True	-0.0189	0.008	False
OFH100026	0.9983	0.27	True	0.0025	-0.0125	False
OFH100027	0.9988	0.321	True	-0.0003	-0.0076	False
OFH100028	0.9919	0.194	True	-0.0107	-0.0112	False
OFH100029	0.9924	0.18	True	0.0167	-0.0119	False
OFH100030	0.9868	0.295	True	0.0168	0.0138	False
OFH100031	0.9895	0.184	True	0.0035	0.0167	False
OFH100032	0.9958	0.315	True	0.0144	0.0184	False
OFH100033	0.9902	0.331	True	-0.0042	-0.016	False
OFH100034	0.9892	0.202	True	-0.0137	0.0179	False
OFH100035	0.9961	0.334	True	0.006	-0.013	False
OFH100036	0.9986	0.291	True	0.0172	0.0115	False
OFH100037	0.9881	0.274	True	-0.013	-0.0077	False
OFH100038	0.9946	0.2	True	0.0092	0.018	False
OFH100039	0.9983	0.243	True	0.0198	0.0186	False
OFH100040	0.9855	0.276	True	0.0168	0.0187	False
OFH100041	0.9881	0.27	True	0.0175	-0.0144	False
OFH100042	0.9954	0.218	True	0.0193	-0.0133	False
OFH100043	0.9974	0.194	True	0.0084	0.0056	False
OFH100044	0.9974	0.251	True	-0.0094	-0.01	False
